Num,Prod,SubstationId,SubstationName,MetarName,MaxLoad
1,rik32119502,44817,A001,Heierenfossen,1250
1,rik32119502,44818,A002,Hallum,200
1,rik32119502,44819,A003,Hallumsdalen,200
1,rik32119502,44820,A004,Odins Vei,500
1,rik32119502,44821,A005,Norderhovhjemmet,500
1,rik32119502,44822,A006,Tors Vei,200
1,rik32119502,44823,A007,Nettstasjon Ramsrud,200
1,rik32119502,44824,A008,Anettes Vei,500
1,rik32119502,44825,A009,Ve Terrasse,0
1,rik32119502,44826,A010,Veksalbakken,300
1,rik32119502,44827,A011,Oppen,200
1,rik32119502,44828,A012,Oppen Vest,315
1,rik32119502,44829,A013,Heieren M?lle,50
1,rik32119502,44830,A015,Halsteinrud 2,100
1,rik32119502,44831,A016,Granum,100
1,rik32119502,44832,A017,Moen,100
1,rik32119502,44833,A018,S?tra,100
1,rik32119502,44834,A019,Elvenga,100
1,rik32119502,44835,A020,N?kleby,50
1,rik32119502,44836,A021,Hallingby,50
1,rik32119502,44837,A022,Tveita,50
1,rik32119502,44838,A023,Hestehagen,100
1,rik32119502,44839,A024,Heggen,200
1,rik32119502,44840,A025,Vemehagen,50
1,rik32119502,44841,A026,Drolshammer,100
1,rik32119502,44842,A028,Hallingplassen,100
1,rik32119502,44843,A029,Hagan,50
1,rik32119502,44844,A030,Tronerudtangen,100
1,rik32119502,44845,A031,Tronerud,100
1,rik32119502,44846,A032,Tronerud vanning,50
1,rik32119502,44847,A033,Holmen,200
1,rik32119502,44848,A034,Heggelia,50
1,rik32119502,44849,A035,?st Veme 2,100
1,rik32119502,44850,A036,Kvernvolden,200
1,rik32119502,44851,A038,Hjelmerud,100
1,rik32119502,44852,A039,Veme,100
1,rik32119502,44853,A041,Skotland g?rd,50
1,rik32119502,44854,A042,Skotland,200
1,rik32119502,44855,A045,Borglund skole,50
1,rik32119502,44856,A047,Borgerud,100
1,rik32119502,44857,A048,L?kke,100
1,rik32119502,44858,A049,Smedshammer,100
1,rik32119502,44859,A051,V?la bru,100
1,rik32119502,44860,A052,Johnsrud,100
1,rik32119502,44861,A053,Bakke,100
1,rik32119502,44862,A054,Gardhammer sag,100
1,rik32119502,44863,A055,Gardhammer,200
1,rik32119502,44864,A057,Rognerud,100
1,rik32119502,44865,A060,Veme sag,100
1,rik32119502,44866,A063,Berghaug,75
1,rik32119502,44867,A064,Hallingst?veren,100
1,rik32119502,44868,A066,St?veren,50
1,rik32119502,44869,A067,Nikkelbrua,100
1,rik32119502,44870,A069,Rolvetangen,100
1,rik32119502,44871,A070,Storbr?ten,100
1,rik32119502,44872,A071,Kittilsby II,100
1,rik32119502,44873,A072,Kittilsby,100
1,rik32119502,44874,A077,Helgerud Skole,630
1,rik32119502,44875,A078,Valhallveien 15,500
1,rik32119502,44876,A079,Valhallveien 13,500
1,rik32119502,44877,A080,Valhallveien 3,500
1,rik32119502,44878,A081,Valhallveien 9,500
1,rik32119502,44879,A082,Valhallveien 14 - 18,500
1,rik32119502,44880,A083,Muninveien,300
1,rik32119502,44881,A084,Huginveien,300
1,rik32119502,44882,A085,Baldersvei,300
1,rik32119502,44883,A086,Fr?yas Vei,300
1,rik32119502,44884,A087,B?lerudmarka 1,500
1,rik32119502,44885,A088,B?lerudmarka 2,800
1,rik32119502,44886,A089,Halsteinrud terasse,200
1,rik32119502,44887,A090,Fjellveien,500
1,rik32119502,44888,A091,Feltspatveien,300
1,rik32119502,44889,A092,Glimmerveien,315
1,rik32119502,44890,A093,B?lerudveien 1,300
1,rik32119502,44891,A094,B?lerudveien 1,300
1,rik32119502,44892,A096,Bråthen,50
1,rik32119502,44893,A097,Oppen?sen Panorama,315
1,rik32119502,44894,A098,Nøkleby koblingsanlegg,0
1,rik32119502,44895,A099,Halsteinrud koblingsanlegg,0
1,rik32119502,44896,A100,Nøkleby omformerst. koblingsanlegg,0
1,rik32119502,44897,B003,Sesserud,100
1,rik32119502,44898,B004,Tangerud,200
1,rik32119502,44899,B006,Tranby,100
1,rik32119502,44900,B008,Modalen 2,50
1,rik32119502,44901,B009,Modalen 1,50
1,rik32119502,44902,B010,Evjua,50
1,rik32119502,44903,B011,Trailerbygg 2,300
1,rik32119502,44904,B012,Pukerudhagen,100
1,rik32119502,44905,B015,Skraperud,50
1,rik32119502,44906,B017,Trailerbygg 1,500
1,rik32119502,44907,B018,Halkinrud,100
1,rik32119502,44908,B020,Andenrud,100
1,rik32119502,44909,B021,Pukerud torvmyr,100
1,rik32119502,44910,B022,Sokna sag 1,300
1,rik32119502,44911,B023,Sokna sag 2,1000
1,rik32119502,44912,B024,Flaskerud 1,100
1,rik32119502,44913,B025,Lerfaldet,100
1,rik32119502,44914,B026,Sokna sag pumpestasjon,315
1,rik32119502,44915,B027,Snyta,50
1,rik32119502,44916,B028,Sokna sag 3,800
1,rik32119502,44917,B029,Hovland g?rd,50
1,rik32119502,44918,B030,Ringveien,200
1,rik32119502,44919,B031,Rusta Kafe,200
1,rik32119502,44920,B032,Sokna Brannstasjon,500
1,rik32119502,44921,B034,Posthuset,500
1,rik32119502,44922,B036,Solbakken,50
1,rik32119502,44923,B037,Stabekk,100
1,rik32119502,44924,B038,Sokna Trygdebolig,300
1,rik32119502,44925,B040,Djupdalsgropa,50
1,rik32119502,44926,B041,Permobakken,200
1,rik32119502,44927,B042,Kirkemoen Boligfelt,315
1,rik32119502,44928,B043,Sokna Ungdomsskole,0
1,rik32119502,44929,B044,Kristofferbr?ten,50
1,rik32119502,44930,B045,Sokna Sykehjem,500
1,rik32119502,44931,B046,Gullaug bru,100
1,rik32119502,44932,B047,Rosenlund,100
1,rik32119502,44933,B048,Bjerke,50
1,rik32119502,44934,B049,Berg,50
1,rik32119502,44935,B050,Kjos sag,800
1,rik32119502,44936,B051,Vestaker,30
1,rik32119502,44937,B052,Krogsrud,50
1,rik32119502,44938,B053,Mokastet,100
1,rik32119502,44939,B054,Slette,50
1,rik32119502,44940,B055,Nilsebr?ten,50
1,rik32119502,44941,B056,Narverud,50
1,rik32119502,44942,B057,Land,100
1,rik32119502,44943,B058,Sletaker,100
1,rik32119502,44944,B059,Bergland,315
1,rik32119502,44945,B060,Sokna Vannverk,315
1,rik32119502,44946,B062,Gulsplass,200
1,rik32119502,44947,B063,Solli,100
1,rik32119502,44948,B064,Bliksrud,50
1,rik32119502,44949,B066,Langvandsbr?ten,50
1,rik32119502,44950,B068,Bergsrud,0
1,rik32119502,44951,B070,Havik,30
1,rik32119502,44952,B072,Bergsj?,100
1,rik32119502,44953,B073ny,Sætra 2,0
1,rik32119502,44954,B074,Rallerud,100
1,rik32119502,44955,B075,Breili,0
1,rik32119502,44956,B076,Dalen,50
1,rik32119502,44957,B078,Haverstingen,100
1,rik32119502,44958,B079,Lundesg?rd,0
1,rik32119502,44959,B080,Volden 1,100
1,rik32119502,44960,B081,Ree,200
1,rik32119502,44961,B083,Roa,200
1,rik32119502,44962,B085,Permobakken 1,315
1,rik32119502,44963,B088,Moplass,50
1,rik32119502,44964,B090,Tytteb?rmoen,32
1,rik32119502,44965,B091,Trolltjern,32
1,rik32119502,44966,B092,Krokbekk,32
1,rik32119502,44967,B093,Hallvassbrua,32
1,rik32119502,44968,B094,Tollefsrud,100
1,rik32119502,44969,B095,Aure,100
1,rik32119502,44970,B096,Aure Sag,300
1,rik32119502,44971,B097,Br?ten,50
1,rik32119502,44972,B098,?modt,100
1,rik32119502,44973,B099,H?len,50
1,rik32119502,44974,B100,Nyhus,100
1,rik32119502,44975,B101,Str?msodd 1,100
1,rik32119502,44976,B102,Str?msodd 2,100
1,rik32119502,44977,B103,Str?msodd 3,100
1,rik32119502,44978,B104,Rallerud brytermast,0
1,rik32119502,44979,B105,Lys?brua,32
1,rik32119502,44980,B106,Sognemo,50
1,rik32119502,44981,B107,Aure kapell,50
1,rik32119502,44982,B109,Frisvannet,50
1,rik32119502,44983,B110,Pukerudhagan 2,200
1,rik32119502,44984,B111,Olde,100
1,rik32119502,44985,B112,Huskebrua,50
1,rik32119502,44986,B115,Roverudh?len,50
1,rik32119502,44987,B116,Kjos sag 2,800
1,rik32119502,44988,B117,Eivannet,50
1,rik32119502,44989,B118,Ruud Gård,200
1,rik32119502,44990,B120,Lynghaugen,50
1,rik32119502,44991,B121,Pukerudhagen 3,315
1,rik32119502,44992,B127,Coop Sokna,500
1,rik32119502,44993,B128,Hansonplassen,50
1,rik32119502,44994,B132,Rallerud ?st,500
1,rik32119502,44995,B133,Rallerudtunnellen 1,500
1,rik32119502,44996,B134,Rallerudtunnellen 2,160
1,rik32119502,44997,B139,Narverud koblingsanlegg,0
1,rik32119502,44998,B140,Langvandsbråten koblingsanlegg,0
1,rik32119502,44999,B143,Rallerud Vest,500
1,rik32119502,45000,B144,?rgenvika ?st,500
1,rik32119502,45001,B145,?rgenvikatunnellen 1,315
1,rik32119502,45002,C001,Stabelsgate 13,1250
1,rik32119502,45003,C002,Samfunnshuset,500
1,rik32119502,45004,C003,Stabellsgate 7,1000
1,rik32119502,45005,C005,Kong Ringsgate,500
1,rik32119502,45006,C006,Storgaten 13,800
1,rik32119502,45007,C007,Schongshaugen,500
1,rik32119502,45008,C008,Anna Collbj?rnsdattersgate,300
1,rik32119502,45009,C009,Schjongstangen,500
1,rik32119502,45010,C010,Sundet,0
1,rik32119502,45011,C011,Realskolen,315
1,rik32119502,45012,C012,Dronningens gate,315
1,rik32119502,45013,C013,Sagdammen,100
1,rik32119502,45014,C014,Krematoriet,500
1,rik32119502,45015,C016,Schongslunden,500
1,rik32119502,45016,C017,H?nefoss Bruks sag,500
1,rik32119502,45017,C018,Ringerike Sparebank,500
1,rik32119502,45018,C019,Nordre Brohode,300
1,rik32119502,45019,C020,Nordre Park,300
1,rik32119502,45020,C021,Folkeskolen 1,300
1,rik32119502,45021,C022,H?nefoss Hvilehjem,500
1,rik32119502,45022,C023,Henrik Ibsens Plass,300
1,rik32119502,45023,C024,Hattemaker Knutsensvei,300
1,rik32119502,45024,C025,Nansenveien 14,500
1,rik32119502,45025,C026,Holtangen,315
1,rik32119502,45026,C027,H?nengata syd,630
1,rik32119502,45027,C028,Uller?lsgata 15,315
1,rik32119502,45028,C029,Kornsiloen,800
1,rik32119502,45029,C030,Asbj?rnsensgate 12,630
1,rik32119502,45030,C031,H?nengata nord,315
1,rik32119502,45031,C032,Ankersgate 16,500
1,rik32119502,45032,C033,Goman,1250
1,rik32119502,45033,C034,Parkgaten 13 - 15,300
