MeterpointID,MeterNumber,PostalCode,Id,Substation
707057500017172647,18020122,1684,81807,H17L
707057500017256330,15700503,1676,81808,K132L
707057500017389793,18020182,1684,81810,H120L
707057500017176980,18020188,1684,81813,H47L
707057500017260771,18020143,1676,81814,K21L
707057500017389809,18020185,1684,81816,H120L
707057500017177536,18020153,1684,81819,H50L
707057500017367814,15672821,1684,81820,H1043L
707057500017389885,18020145,1680,81822,H505L
707057500017384019,18020151,1680,81825,H545L
707057500017177703,18020152,1684,81826,H50L
707057500017389922,18020144,1684,81828,H85L
707057500017180963,18020199,1684,81830,H77L
707057500017389960,18020142,1684,81832,H55L
707057500017386396,18020148,1684,81834,H29L
707057500017183223,17726024,1684,81836,H88L
707057500017389991,18020135,1684,81838,H85L
707057500017386938,18020147,1684,81840,H335L
707057500017183612,18020184,1684,81842,H90L
707057500017390379,18020159,1692,81845,H740L
707057500017386976,18020357,1676,81846,Floveien
707057500017185142,18294754,1684,81848,H120L
707057500017391338,16632026,1675,81851,K145L
707057500017387256,18020136,1676,81852,K21L
707057500017185203,18294755,1684,81854,H120L
707057500017391376,16632025,1684,81856,H1085L
707057500017387805,18020364,1684,81858,H1049L
707057500017185371,18020163,1684,81861,H125L
707057500017391697,18020198,1684,81862,H367L
707057500017388659,18020361,1684,81864,H1043L
707057500017185883,18020234,1684,81867,H125L
707057500017391734,16632019,1684,81868,H1049L
707057500017388765,18020150,1680,81870,H555L
707057500017192768,15701308,1684,81872,H260L
707057500017391949,18020341,1679,81874,ØstreSkogholmen
707057500017389533,18020127,1684,81876,H30L
707057500017193550,18020129,1684,81879,H270L
707057500017389656,18020201,1680,81882,H475L
707057500017198111,18020128,1684,81886,H325L
707057500016936059,16594730,1653,81887,B141L
707057500017389663,18020371,1676,81888,Floveien
707057500017208865,18020162,1680,81892,H483L
707057500016942814,16594734,1658,81893,B153L
707057500017389779,15730398,1684,81894,H360L
707057500017212572,18020164,1680,81898,H535L
707057500017389786,18020126,1684,81899,H1056L
707057500017174634,15701228,1684,81900,H29L
707057500017203419,15699688,1684,81904,H370L
707057500017216464,15718009,1680,81905,H565L
707057500017180369,15718436,1684,81906,H75L
707057500017209879,18294768,1680,81909,H495L
707057500017230064,18020134,1690,81910,H775-230L
707057500017181922,18020197,1684,81911,H85L
707057500017215306,15691581,1680,81914,H550L
707057500017224629,18020200,1692,81916,H720L
707057500017182950,15700558,1684,81917,H88L
707057500017219373,15671888,1680,81920,H585L
707057500017231573,15673102,1680,81922,H456L
707057500017252035,15699831,1675,81926,K119L
707057500017251588,18020158,1675,81928,K57L
707057500017189386,15700529,1684,81929,H235L
707057500017256989,16632373,1676,81931,K38L
707057500017191280,15674046,1684,81934,H245L
707057500017226975,15699626,1692,81935,H740L
707057500017303454,16044625,1680,81937,H540L
707057500017197251,16044586,1684,81940,H320L
707057500017259997,16632505,1676,81941,K1021L
707057500017306318,15718267,1680,81943,H540L
707057500017195738,15701198,1684,81946,H311L
707057500017260764,18294752,1676,81947,K21L
707057500017317208,15700058,1679,81949,K64L
707057500017179462,16632236,1684,81951,H65L
707057500017264946,16044714,1672,81954,K54L
707057500017323247,16044735,1692,81955,H720L
707057500017192164,16632237,1684,81958,H255L
707057500017327870,16632864,1676,81960,K1005L
707057500017321533,15673096,1684,81961,H6L
707057500017383982,18020321,1680,81965,H545L
707057500017197701,15673434,1684,81966,H322L
707057500017333611,15673037,1684,81967,H6L
707057500017173798,15718402,1684,81970,H22L
707057500017186279,15673486,1684,81972,H205L
